GeneName,sampleA,sampleB,sampleC,sampleD,sampleE,sampleF,sampleG,sampleH
Slc22a13,7.9750044652,7.6491697912,7.8751770793,7.7389273658,7.760359987,7.8499135709,7.9039939509,8.053930584
Setd1b,10.744885428,11.0120753338,9.9133780171,9.9748985667,9.8808512858,9.9199291912,9.8159260674,10.0977654376
Gm41666,6.262995048,6.4804729352,6.3148803329,6.1113011506,6.4217207333,6.228422547,6.4135285473,6.3947644712
Pih1d1,12.7539412786,12.5376664561,12.4146433142,13.2057482211,13.1275148737,12.6311375502,12.7368146842,12.8801037733
Rxrb,9.8656280366,10.188696313,9.7634148798,9.7509172308,9.7499444782,9.5656198221,9.7694440558,9.6154770467
Ppp3cb,6.5889884164,6.5035466695,6.6498363901,6.5252110115,6.7097274996,6.6209383008,6.6183413648,6.776999344
Cttnbp2,6.3412901932,6.223297962,6.2655472528,6.2783425533,6.1803026481,6.0116550045,6.4045678368,6.493832497
chr2:48873778-48974304_F,6.6030981957,6.244353983,6.4994400293,6.3364852762,6.5219072579,6.5326195003,6.5607020782,6.4126586406
Lhfp,9.1668671822,8.6319949836,8.3517391181,8.2294967549,8.0721596772,8.5681377982,8.0789143467,7.1827996658
8430406P12Rik,7.322106465,8.0299995861,7.1289355399,7.1543056666,7.2615961176,7.5613254276,6.7904429164,7.2440521326
Nagk,11.4264891671,11.3205411493,10.9044124339,11.3861572634,12.3259488139,11.5107889324,11.1440306641,11.4445566632
Tmem14a,8.7440831874,9.1656533922,9.5615174623,9.846571635,11.1741436369,9.892356966,9.1042267104,9.0669635734
Arap3,6.3400087189,6.0710493158,6.3587574511,6.309099621,6.4927282949,6.4073522551,6.2993005858,6.3293771267
9130230L23Rik,6.1600773366,6.2517955564,6.2956676749,6.0272257893,6.1919525653,6.189890676,6.1204891139,6.2585865402
Sorbs2,6.1834507791,5.970026069,5.9601321111,6.0764762234,6.0596091638,6.0561704564,5.9640302546,6.0824179471
Samd1,13.139126819,13.4560666108,13.8539366426,12.7025132994,12.9426528591,13.5898498876,14.0272941962,14.228866736
Atp7a,8.9880106653,9.0190180187,8.5757600801,8.6955746576,8.6622354872,8.7015891998,8.9377227243,8.5983121798
Daw1,6.5065607037,6.3764997276,6.3750147493,6.3631743213,6.3745140168,6.4491610724,6.5057913131,6.3791849117
Wdr12,12.6934406221,12.6605106274,13.3874405818,12.4742948147,12.2372997663,13.2496048231,12.6302991951,12.5870567205
BY718677,7.7596384952,7.1943754222,7.3672269618,7.4541344188,7.6812093765,7.448668508,7.5235870885,7.5076959319
Gm35722,6.0489802184,6.0027909996,5.9525417242,6.1108968131,6.0196017329,5.9692301895,6.0188301496,6.0441456171
Zbtb25,6.6742726221,6.6353196184,6.5832740671,6.3650959808,6.5280843417,6.7089151682,6.9211433599,6.8496772408
Cbfa2t2,11.5696037302,11.4445566632,11.3324030404,11.3260862139,11.5172162587,11.281026898,11.406072324,11.2504553275
Gm11494,6.3235480307,6.3646739539,6.3895237018,6.095556859,6.2034076976,6.150513682,6.2232277264,6.2182027361
Rdx,12.9357939219,12.4968461132,12.6605106274,11.6937382796,11.8783795936,12.8218172806,12.132507281,11.8167322841
Gm17102,6.1675183457,6.0828785185,6.2282397391,6.2119624577,6.0702082892,6.1618845939,6.1985351953,6.3459823216
Ptprz1,6.1521181447,6.2165428695,6.1816644779,6.2076978674,6.1277183969,6.2394527117,6.1493204166,6.1344713093
Pola2,7.3118515049,7.4809667886,7.5306116356,7.2611884683,7.4332637637,7.4259530717,7.3166297937,7.6153601727
Fpr2,7.063503297,7.1148796998,7.1285594956,7.0631553292,6.985507694,7.1281604588,7.1609036466,7.0147915541
Klk12,6.2133056532,6.1172282603,6.1815930152,6.8335088732,6.0443041583,6.300496777,6.2746350314,6.1992804644
Dlx6os1,6.2747035491,6.2056664855,6.1499150407,6.1840074328,6.2388903656,6.0359594642,6.1679934791,6.2285226295
Rps3a1,16.8688607789,16.8123717657,17.0958054933,16.9113056683,16.981940566,16.9933469174,17.1571215142,17.3213044657
Gm8439,6.1154104163,6.1273101214,6.1177206611,5.9603063006,6.1251794492,6.0198325305,6.1215887936,6.2288672652
Ncf1,6.4674796048,6.4032658498,6.4440612652,6.1751251145,6.3400732393,6.4476730481,6.4074011534,6.4262075328
Luc7l2,8.7694891464,8.4020405103,8.9286906792,8.8851131328,8.8936406625,8.7341972927,8.9034542676,8.978514264
Pou6f2,6.7039054101,6.791981302,6.5679549153,6.6508577131,6.3365160818,6.4878598962,6.6328346699,6.7448075219
Gbp4,11.0697345565,12.4972321976,11.527903219,11.154267246,11.5083497594,11.5292747982,10.1106976118,13.1218298921
Stub1,12.9528141073,13.0555624683,13.1843933378,13.1218298921,13.3933303964,13.1989615272,12.9596998498,13.1640725604
Cyb5a,14.694094415,14.5680713977,14.2873670186,14.6619462379,14.5865006549,14.6701147372,14.7482730566,15.8732860757
Htatsf1,11.3657021764,11.1006493555,11.7069688185,11.7858077817,11.1419372674,11.7148607935,11.4736712078,11.7509696718
Sqstm1,13.8445405083,14.0911649769,13.2638804558,14.7272629546,14.7371870707,13.4828070888,13.24213342,13.1478540722
Olfr401,6.3712198152,6.2729508676,6.1587803283,6.2262736983,6.1996087083,6.3335318915,6.3423759312,6.3788382778
Atoh8,7.7149354967,7.4690450657,8.2718657053,6.5810530927,7.1091030604,8.282435349,6.6815847602,6.4053256425
Thumpd3,10.7430289753,10.465428444,10.4746457622,10.5974700561,10.2125979593,10.4226357817,10.4811392263,10.372395898
Rtn1,6.4667087739,6.560758722,6.4472119956,6.2716941123,7.0023206472,6.5793902846,6.60238271,6.4502055491
Gm14410,6.2868992302,6.3560398827,6.9979873351,6.3697403833,6.2443066324,6.2496265417,6.2089418165,6.407362421
Dph3,8.1604538259,8.7976336329,8.7867139358,8.9128306301,9.1023079361,8.7894921415,8.3162289615,8.4462849302
Fgf6,8.6728472545,8.5681377982,8.5747250818,8.7113433712,8.297964194,8.5206811176,8.4071966688,8.4449956412
Rbm26,8.6119162584,8.3653481761,8.6439696964,8.6391867205,8.3765570849,8.7650851525,8.6950277555,8.4531721032
Gm36583,6.0422351065,6.0683448996,6.0618294206,6.0207977005,6.0339028693,6.1948905956,6.1269876433,6.0893288789
Kantr,8.2639781227,8.3868384089,7.989758134,8.6126501839,8.6130822422,7.8352535775,8.2219305683,8.4233765341
Amhr2,6.4796274233,6.7585282665,6.5735584359,6.4282373883,6.4113071055,6.5045497445,6.2579678447,6.2938987995
chr14:115443612-115445950_F,11.5184817897,13.1132181428,12.5765255852,11.4997102951,12.0962592792,12.4466080753,11.3685858603,11.5633827086
Fnbp1l,6.5505245478,6.5285091436,6.5339633781,6.5011364078,6.9846514237,6.7671560155,6.6251439739,6.2393442339
Olfr1115,7.1373883029,7.084730061,7.4478977762,6.7551259775,6.7887490328,7.1782678421,6.9960494195,6.9400454397
A630073K07Rik,8.7670530839,8.8901202819,9.2631531877,8.7673937458,8.7826765226,9.0347355734,9.3709003658,8.5149198652
Epb4.1l3,6.1059143062,6.1087455478,6.1625080577,6.1639140446,6.1701121667,6.1450334525,6.111787278,5.9694827399
Osbp2,6.140352017,6.2254003781,6.1401768609,6.1478881345,6.3186665499,6.1489444144,6.1696566616,6.192984262
Nanos3,9.458180774,9.5209959256,9.3084723027,9.4125628575,9.30217431,9.1716932082,9.3397853165,9.6585509502
4930414F18Rik,6.8750238418,6.7530217965,6.7318856649,6.7787253347,6.5720961806,6.8171840796,6.7461020253,6.8078477863
Ccl4,13.2106033123,13.8340023876,14.451865543,15.6806846543,14.7464368605,15.3452283575,13.6856376551,10.3012147929
A830019L24Rik,6.3657596221,6.3985974021,6.3195446426,6.3060153254,6.5272706886,6.3771020378,6.1424428809,6.1428898287
Rps6kl1,7.2596381526,7.2287234482,7.6994067008,6.8756619159,7.1721966373,7.2690316917,7.6716685686,7.5288196186
Fzd10,6.4660278326,6.4515910274,6.5552214863,6.5417811804,6.7152673991,6.7208329927,6.3789913484,6.3392256138
Abcb7,7.9672944449,7.778600037,7.8220409097,7.5067384121,7.5546850789,7.8854376324,7.8490314851,7.6251541557
Sox2ot,5.9931581638,6.2343288569,6.073459338,6.1071489772,6.2080007527,6.1955111044,6.1514431974,6.1620999979
NAP059807-1,6.1365834221,6.2098237939,6.2559134348,6.0453672224,6.0512097595,6.1406162853,6.2165428695,6.1242736451
Med14,10.8239975214,10.1854574279,9.7315944005,9.9863566085,9.6881892403,9.694676606,10.5577099465,9.8587021042
Dnah7b,8.5141697052,8.947954844,9.3128486674,8.8893331666,12.2992196011,10.3355961801,7.7016333454,9.137951527
9530059O14Rik,6.1271175682,6.1261460617,6.2451014293,6.075928998,5.991617874,6.1170073372,6.1950902377,6.0570813814
Wdr62,7.262365588,7.0724877941,7.110294391,7.2725091779,7.2242866939,7.2790395976,7.1484257983,7.2146212014
Rab9,12.2422192028,12.1024554722,12.0025083203,11.6096398895,11.7332491298,11.8194369255,11.9647290022,12.0975673609
Ncoa7,7.9115692075,7.9377905913,8.3285030722,8.1435849311,8.6976427969,8.6524825261,7.3868903263,7.703197105
Zc3h3,12.3141365336,12.1711964909,11.9175929137,12.0611576158,11.9021274447,11.8828052108,11.9831729053,11.3418698935
Panx2,6.1673454812,6.25972385,6.1580175392,6.1680212948,6.2503903683,6.1835103043,6.1373576628,6.2190182181
Olfr1116,6.0704118915,6.1389391346,6.1243501905,6.1828918378,6.0703980309,6.0594471255,5.9798524156,6.2291539074
Gm16497,6.1963186746,6.1450887825,6.0367220344,6.0506274937,6.1313031597,6.1614920502,7.0303778089,6.9822720015
Ambp,6.2612879389,6.2359983735,6.2215935995,6.1862962538,6.6292535546,6.5272230567,6.4984679184,6.2350845875
Alyref,14.0319380447,13.3917376071,14.5732385429,14.0499304846,13.9925927781,14.5550487993,14.5789727875,14.3019041163
Gm6313,6.0788818789,6.1519451084,6.2743884867,6.0749017241,6.1360613245,6.0185944885,6.1886852421,6.1725597096
2900092C05Rik,6.7053966401,6.4772745102,6.4452190604,6.4357064325,6.5466928893,6.2500448853,6.4771391809,6.5728709329
Phip,6.9144480788,6.8400168897,7.090378274,7.1813213937,7.1093047729,7.0604612925,7.2539688366,7.5508059654
2810001A02Rik,11.0087471646,11.6876397863,10.6859724713,11.4533737802,10.8780941163,10.5464974877,10.6066157779,10.5529795184
Fchsd2,7.2867816201,7.4387165154,7.6496967198,7.1153432632,7.2492804304,7.2895713377,7.2364432359,7.4570436895
Gpr156,6.1466648489,6.2074863519,6.2934323849,6.2489677883,6.3030864779,6.2354583318,6.2517432673,6.3875918498
Ceacam2,6.3479947982,6.0515697307,6.0431020634,6.2499115587,6.504919401,6.2064829591,6.077109794,6.3467825519
Foxg1,6.2299048553,6.2014027417,6.1291782314,6.2782383625,6.4098821833,6.3421966673,6.1610229701,6.1117997483
Scn4a,7.1862717349,7.1061583943,7.1358407112,7.2270812915,7.1369261474,7.1188479385,7.0288246204,7.1011250595
Rps6,17.5048289466,17.459538554,17.4192043408,17.4528462972,17.4130551429,17.2737646606,17.429880355,17.6701159362
Cyp3a13,6.0500889434,5.9777909186,6.0159123498,6.0831394638,6.0320585851,5.908609514,5.9660917392,6.1284907096
Phlpp2,9.5978560135,9.3645462507,9.7325019704,9.6357383975,9.8845714366,9.931608554,9.8136428482,10.0000629964
chrX:98661132-98661469_F,6.2714071574,6.6324385966,6.2767039613,6.3986884664,6.4323179322,6.2825208448,6.3300857394,6.2599099261
Fgf12,6.10776007,6.0375610239,6.194721175,5.9954346189,5.9919399427,5.9533611229,6.1632632224,6.0307574452
Tmem19,11.3966840839,11.5675772113,12.0160068293,12.37362276,12.7791014647,12.1536072744,12.2618015096,11.1629318977
Gm38692,6.0656798889,6.1840423806,6.186737506,5.9503070143,6.074869981,6.2467653365,6.0590363738,6.15204338
Anxa1,7.5424084679,9.1494963021,9.3268895994,10.5799588959,12.6071352487,11.3395742195,6.5052846655,7.7028601211
Gm35147,7.7089198732,7.8124895693,7.794249221,7.7305336401,7.6137698187,7.7415283121,7.7486413289,8.0893234346
Lta4h,9.1028677895,8.6562723826,9.0858218011,8.8934228159,8.7326877165,8.8729793218,9.3580032187,9.9861120153
Gm35665,7.4528523806,7.2639788824,7.254851929,7.1346248669,7.0100132784,7.2317265605,7.3281287335,7.8229688666
Polr3b,9.8478951943,9.3860952353,10.3976476384,10.2681247242,9.9889017297,10.3741538247,10.1386261283,10.656698425
Gm9753,6.4915439129,6.4314041642,6.3482916234,6.491847302,6.4636901343,6.2690271306,6.5337045516,6.5053072034
Snrpa1,9.1651117339,8.7686152758,8.3751555586,8.2113274714,8.3848104592,8.396078724,8.5738462817,8.6343172949
Prdm12,6.2139129727,6.331818866,6.264063465,6.2898620001,6.2936365942,6.2890950866,6.2115588047,6.4076066912
Plcz1,6.0762448475,6.0109517105,6.0532910315,6.1476615828,6.0187714446,6.1245138395,6.0964753718,6.0803561666
Rgmb,6.5555469813,6.5073489738,6.4093884642,6.922797449,6.6623717439,6.5051621549,6.6153473366,7.1667304716
Tia1,8.9761898232,8.9858542506,9.3119226941,8.9354300981,9.1001640996,9.3629956613,9.213005781,9.6988657274
BC030308,6.8372453819,7.2513608928,6.9127450891,6.6832016721,7.0891058981,6.9174656704,6.6019053035,6.8347053958
1700071M16Rik,6.1933911493,6.2371591006,6.0812944475,6.0196264408,6.2749532345,6.1199826635,6.3106890457,6.2036099296
Gm32011,6.0375686393,6.0228802474,6.2585865402,6.0048620259,6.1642903714,6.3421966673,6.0557812513,6.1133947885
Klra8,6.4086575474,6.0997235853,6.4738816208,6.2356960606,6.31715999,6.4998432246,6.8862292957,7.9788966061
Rpl6,16.4333511784,16.5240310402,16.4720103441,16.4601631199,16.227843429,16.2972521445,16.1839004212,16.1320982648
chr16:44720170-44723911_R,6.7955469283,7.2452016555,6.5654091894,7.0901088257,6.7655144066,6.4610899471,6.6414292736,6.5950466234
Vmn1r204,7.2954076792,7.144448258,7.3377774208,7.0822530731,7.1263167378,7.2716859859,7.1400904717,7.1006647394
Dot1l,7.3398988266,7.1573960026,7.9206239305,7.2958399097,7.2676870012,8.05022095,7.769199374,7.3492849019
8430437O03Rik,8.5916448982,9.0089137426,8.5481595545,8.4711131958,8.7559466635,8.3095300057,8.8691592271,8.9837800633
Ttll3,7.278598386,7.256848843,7.2699296585,7.247833626,7.0468980125,7.2598397095,7.2298994456,7.589774005
4930432N10Rik,6.12329913,6.1281521013,6.1865138317,6.1431010319,6.0385324572,6.1803653181,6.1477683162,6.1781886891
Rexo2,11.7088413312,11.2910522819,12.276646211,11.6745019666,11.3434187242,12.132507281,12.2365536851,12.6825981786
Cyp4f17,8.5192002053,9.0705198452,8.7919334025,9.3109611657,9.1588254612,8.756180304,8.351954278,8.9477006263
Pde8a,6.4147759878,6.311956021,6.5686349197,6.3186767341,6.2532785742,6.4096826825,6.3460141719,6.2023173889
Hapln1,6.1519348689,6.0632689802,6.1511387614,6.1218137817,6.1584111182,6.2986295551,6.061276381,6.146843283
Mdh1,8.8687290341,9.1848909668,9.1681820564,9.4139742596,9.2051811273,9.0040959373,9.3545031811,9.6904399454
chr14:115423660-115463160_R,10.356147662,11.6654511638,11.473238942,10.3343507676,10.7646878382,11.3985956489,10.6088858074,10.7096919035
chr5:108538417-108550517_F,6.3299524532,6.0941711866,6.303231189,6.2647029646,6.2690271306,6.3059821793,6.2644852175,6.3049911312
Yipf2,9.9242177015,10.3331930654,9.9559761931,10.9036628532,10.744885428,10.0434916901,10.1151217172,10.3741538247
Stat3,10.9690469714,10.3963435455,9.0848332766,9.6902440154,9.1343705039,9.2417765453,10.8188961484,9.0622136369
Gm36904,5.8941669662,6.1988665445,6.0787799597,6.0845601674,6.057296021,6.1226456769,6.0577126624,6.1381075089
Gm7467,6.8636387916,6.9475406894,6.5529680826,6.659484487,6.9152939505,6.5613783336,6.7833801,6.8885602837
Gm38479,6.3786400332,6.4058602291,6.5402445567,6.2983783869,6.4390657533,6.5369138927,6.3527388754,6.3464703783
AK196015,6.2222762402,6.1598290084,6.280436392,6.3338690358,6.3283595262,6.1560546811,6.2065315099,6.0696327689
Scgb2b3,6.0577364772,6.0890512923,6.0723279301,6.0661544623,6.0831249627,6.0220825045,5.9402838852,6.0444839743
Klhdc1,7.8053540482,7.9244549853,7.1279609448,7.419285413,7.3802350326,7.2230078315,7.3876014561,7.6047397769
Hace1,7.2821499961,7.1763990581,7.1562712492,6.7336067773,6.6250972052,7.1433426708,7.0552893878,7.2924511549
AK046125,6.288866079,6.2181805142,6.3434378368,6.2262736983,6.2501341114,6.2406570423,6.488053153,6.6824913614
Synpo2l,6.1881433135,6.2582110795,6.2555940131,6.0761999474,6.0579251882,6.3163364987,6.1692947065,6.2908038505
Zmym1,6.3583150521,6.514495829,6.2589348498,6.2844643044,6.3272865427,6.4530155761,6.5083704015,6.1336807974
2210414B05Rik,6.0968419722,6.1171059973,6.0733181973,5.9669708629,6.0525582628,6.0851297102,6.0470388504,6.0637877656
LOC100045026,6.4539084262,6.3542195682,6.3863813412,6.7029445997,6.564224226,6.3243403138,6.3413589371,6.2503800111
Lrp8os2,6.9583931822,6.8064169569,6.6210591198,6.6513448086,6.6032389536,6.5382016722,6.6734391482,6.7307790303
Maged1,8.7916877371,8.464340937,8.4035950205,7.7808426061,8.069358289,8.1733187626,8.4359750442,7.9767076883
chr3:87575891-87576343_F,11.3807096447,11.3507505443,11.0386850308,11.2603482249,11.2683572025,10.851519953,11.1013671175,11.0057996021
Uqcr10,15.5428989113,15.4449454195,16.5023454338,15.5428989113,15.726638252,16.5080059708,16.0614186511,15.855705952
8030411F24Rik,6.5710103286,6.624900179,6.4725177016,6.3679776043,6.3386321209,6.4194220557,6.3924730805,6.376646674
Mmgt2,11.0996919435,11.4505879556,11.3221830738,11.3799403344,11.3781845201,11.312906066,11.0028627031,11.3699631743
Klra23,7.6717958464,7.7469591384,7.3711749289,7.1589856576,6.7475549709,7.1256207789,8.320276143,9.025109321
Slc25a25,9.4018939443,9.0347355734,9.7906128593,9.320537809,9.4565962598,9.8405713167,9.5370390695,9.5542260764
chr18:73863912-73864665_F,7.1240581495,7.1868655042,7.1714358855,7.8809399796,7.7518291979,7.3437408634,7.2601892719,7.3877040901
Ticam2,6.4032328684,6.428188953,6.4328018234,6.3203310666,6.6242141021,6.2251653152,6.7569577586,6.1672450429
Fsip1,7.2945097191,7.0274408645,7.2071467274,7.0178493813,6.8888400128,7.1188479385,7.2533916239,7.1248737053
Gm36349,8.7048000134,8.6641946681,9.0771069872,9.0188684744,8.6651836098,8.8830294348,8.9851696543,9.420100046
Mapre2,6.4590465954,6.4274049609,6.4705431056,7.1775234349,7.0173153195,6.4486249775,6.6277300886,6.4121935443
Ttll5,6.6842627357,6.5380161258,6.7051419047,6.5082044584,6.4021383197,6.5695112692,6.7118585469,6.5212373109
Magee2,6.2102287408,6.0926842412,6.2762331558,6.1177543173,6.8321217475,6.5591081949,6.0140064658,6.2619159892
